20, MKHXVO, 34.004504, -118.479509, 34.013183, -118.471724
22, NZHQJT, 33.937646, -118.22392, 33.943705, -118.22776
22, EIWQYD, 33.982828, -118.317961, 33.987674, -118.319356
3, TWSKIX, 34.050701, -118.50396, 34.05648, -118.505589
8, URQFAH, 34.123822, -118.51602, 34.135633, -118.512533
11, KUTWXZ, 34.117173, -118.43936, 34.122975, -118.431957
0, NGSTCD, 34.118629, -118.413098, 34.123165, -118.413259
6, KJDEOC, 34.078652, -118.432505, 34.084193, -118.432225
6, TBMYOC, 33.957431, -118.405858, 33.964005, -118.412234
8, PWNRID, 33.953122, -118.258171, 33.963997, -118.264688
14, UVDQBT, 33.998565, -118.317633, 33.996869, -118.32011
12, UJNDRH, 34.019608, -118.292886, 34.024105, -118.294444
11, VQEYCI, 34.032244, -118.239553, 34.039525, -118.238773
20, PVBLTA, 33.999531, -118.355573, 34.005449, -118.360826
3, LYTAZJ, 33.998329, -118.262159, 34.005195, -118.26274
8, WHVQIL, 34.064407, -118.498959, 34.064502, -118.501186
1, ABGXUT, 34.112214, -118.264862, 34.116801, -118.259124
6, EVYPCH, 33.965791, -118.290428, 33.97425, -118.285032
17, BLHEPJ, 34.032769, -118.570461, 34.041062, -118.570596
7, ABPYQO, 33.951219, -118.595704, 33.962383, -118.600023
7, KVOEBA, 34.085144, -118.248228, 34.097711, -118.251748
3, KHIFRJ, 33.950272, -118.486602, 33.965317, -118.49267
16, MGQENF, 33.940426, -118.266009, 33.945309, -118.263773
10, YFRWEC, 34.099173, -118.25989, 34.109445, -118.265258
19, MTPERU, 34.034147, -118.345068, 34.04318, -118.343604
8, TCWHAJ, 33.99517, -118.519946, 33.999029, -118.514906
9, YGJFTQ, 34.110548, -118.293474, 34.124726, -118.285036
8, GCRFVQ, 34.004199, -118.355989, 34.014655, -118.351926
12, EUHCVD, 33.992467, -118.587722, 34.000977, -118.584333
8, LHXEVB, 34.019814, -118.313228, 34.029977, -118.314623
21, FXWJKH, 33.97169, -118.261918, 33.976234, -118.264086
16, GZRXFS, 34.046498, -118.338273, 34.05933, -118.341259
2, TVGOPK, 33.94225, -118.571933, 33.948952, -118.570585
8, LJCOPH, 33.98264, -118.325449, 33.990588, -118.333429
14, RYCDZW, 33.955172, -118.347869, 33.961274, -118.341916
13, CWZEHR, 34.066035, -118.545957, 34.072316, -118.544897
15, QPSHFM, 34.047196, -118.51382, 34.054843, -118.519025
13, KGDXFO, 34.111918, -118.303293, 34.123029, -118.305536
16, OFYBWH, 33.968463, -118.49411, 33.979551, -118.494539
12, NBHJSK, 34.124052, -118.447894, 34.13188, -118.453004
17, HFJLMD, 33.993555, -118.218385, 34.006355, -118.221563
5, KACUGS, 34.09682, -118.387438, 34.108691, -118.387755
18, AXJHES, 34.048941, -118.474903, 34.053672, -118.477393
20, AMWKCJ, 34.037312, -118.370503, 34.039407, -118.370925
18, KXIOCM, 33.938911, -118.410763, 33.947713, -118.410012
13, BDFINC, 33.985434, -118.380953, 33.987058, -118.383843
4, RYXTUQ, 34.048657, -118.467904, 34.056818, -118.458822
0, CHLOZY, 34.115204, -118.582108, 34.120551, -118.580915
